,city,cloudiness,country,date,humidity,lat,lon,temp,wind_speed
0,Aklavik,75,CA,<class 'datetime.date'>,57,68.22,-135.01,48.2,3.36
1,Neustrelitz,100,DE,<class 'datetime.date'>,46,53.36,13.06,73.99,8.01
2,Dikson,100,RU,<class 'datetime.date'>,97,73.51,80.55,34.33,8.43
3,Kahului,1,US,<class 'datetime.date'>,73,20.89,-156.47,72.0,4.7
4,Yatou,75,CM,<class 'datetime.date'>,74,3.63,9.81,86.0,4.7
5,Vostok,100,RU,<class 'datetime.date'>,98,46.45,135.83,50.35,3.2
6,Saint-Francois,0,FR,<class 'datetime.date'>,29,46.42,3.91,102.2,3.36
7,Sitka,0,US,<class 'datetime.date'>,74,37.17,-99.65,78.01,11.99
8,Kapaa,75,US,<class 'datetime.date'>,88,22.08,-159.32,78.8,12.75
9,Talnakh,75,RU,<class 'datetime.date'>,87,69.49,88.39,46.4,6.71
10,Salalah,75,OM,<class 'datetime.date'>,83,17.01,54.1,84.2,12.75
11,Cape Town,20,ZA,<class 'datetime.date'>,72,-33.93,18.42,62.01,26.4
12,Klaksvik,100,FO,<class 'datetime.date'>,100,62.23,-6.59,50.0,10.29
13,Guilin,75,CN,<class 'datetime.date'>,94,25.28,110.29,78.8,2.24
14,Jamestown,0,AU,<class 'datetime.date'>,65,-33.21,138.6,56.83,12.53
15,Hermanus,0,ZA,<class 'datetime.date'>,33,-34.42,19.24,70.0,11.99
16,Rikitea,100,PF,<class 'datetime.date'>,84,-23.12,-134.97,73.93,15.39
17,Punta Arenas,20,CL,<class 'datetime.date'>,68,-53.16,-70.91,28.4,12.75
18,Hirara,76,JP,<class 'datetime.date'>,84,24.8,125.28,82.93,20.42
19,Barrow,100,AR,<class 'datetime.date'>,51,-38.31,-60.23,48.37,24.02
20,Thompson,40,CA,<class 'datetime.date'>,82,55.74,-97.86,57.2,5.82
21,Komsomolskiy,97,RU,<class 'datetime.date'>,66,67.55,63.78,56.65,10.36
22,Pyaozerskiy,100,RU,<class 'datetime.date'>,88,65.83,31.17,47.29,14.45
23,Kodiak,1,US,<class 'datetime.date'>,74,39.95,-94.76,82.0,12.75
24,Bubaque,86,GW,<class 'datetime.date'>,80,11.28,-15.83,80.77,9.04
25,Saskylakh,100,RU,<class 'datetime.date'>,41,71.97,114.09,55.57,4.05
26,Vaini,75,IN,<class 'datetime.date'>,88,15.34,74.49,73.4,13.87
27,Port Elizabeth,1,US,<class 'datetime.date'>,61,39.31,-74.98,89.01,5.82
28,Mataura,83,NZ,<class 'datetime.date'>,91,-46.19,168.86,43.0,4.0
29,Newport,0,GB,<class 'datetime.date'>,56,51.59,-3.0,78.01,21.92
30,Dunedin,100,NZ,<class 'datetime.date'>,56,-45.87,170.5,51.01,3.0
31,Dakar,17,SN,<class 'datetime.date'>,66,14.69,-17.45,86.0,11.41
32,Xining,100,CN,<class 'datetime.date'>,97,36.62,101.77,42.79,1.86
33,Mahebourg,40,MU,<class 'datetime.date'>,78,-20.41,57.7,73.4,9.17
34,Zhangzhou,20,CN,<class 'datetime.date'>,83,24.51,117.65,84.2,8.95
35,Kenai,1,US,<class 'datetime.date'>,81,60.55,-151.26,53.6,5.82
36,San Cristobal,96,HN,<class 'datetime.date'>,60,14.68,-86.92,77.35,7.18
